"","Partido","O Globo (2016)","BBC Brasil (2017)","Claudio Couto (2018)","Folha de S.Paulo (2018)","Congresso em Foco (2019)"
"1","Avante","centro","esquerda conservadora",NA,"centro fisiológico","centro"
"2","DC","centro",NA,NA,"centro fisiológico","direita"
"3","DEM","centro","direita conservadora","direita","direita que virou centro","direita"
"4","MDB","centro","direita conservadora","centro-direita","centro-esquerda liberal","centro"
"5","NOVO","centro-direita",NA,"direita",NA,"direita"
"6","Patriota","centro","direita progressista","direita","centro fisiológico","direita"
"7","PCB","esquerda",NA,"extrema-esquerda",NA,NA
"8","PCdoB",NA,"esquerda progressista","esquerda","esquerda trabalhista","esquerda"
"9","PCO","esquerda",NA,"extrema-esquerda",NA,NA
"10","PDT","centro-esquerda","esquerda conservadora","centro-esquerda","esquerda trabalhista","esquerda"
"11","PL",NA,"direita conservadora","centro-direita","centro fisiológico","direita"
"12","PMB","centro",NA,NA,NA,"direita"
"13","PMN",NA,NA,NA,"esquerda trabalhista","esquerda"
"14","PODEMOS","centro","direita conservadora",NA,"centro fisiológico","direita"
"15","PP","direita","direita conservadora","direita","direita que virou centro","direita"
"16","Cidadania","centro-esquerda","direita progressista","centro","esquerda trabalhista","esquerda"
"17","Republicanos","centro-direita","direita conservadora","direita","centro fisiológico","direita"
"18","PROS","centro-esquerda","esquerda progressista",NA,"centro fisiológico","centro"
"19","PRTB",NA,NA,"direita","centro fisiológico","direita"
"20","PSB","centro-esquerda","esquerda progressista","centro-esquerda","esquerda trabalhista","esquerda"
"21","PSC","centro-direita","direita conservadora","extrema-direita","centro fisiológico","direita"
"22","PSD","centro","direita conservadora","centro-direita","centro fisiológico","direita"
"23","PSDB",NA,"direita conservadora","centro-direita","centro-esquerda liberal","centro"
"24","PSL","centro","direita conservadora","extrema-direita","centro fisiológico","direita"
"25","PSOL","esquerda","esquerda progressista","esquerda radical","esquerda trabalhista","esquerda"
"26","PSTU","esquerda",NA,"extrema-esquerda","esquerda trabalhista",NA
"27","PT","esquerda","esquerda progressista","esquerda","esquerda trabalhista","esquerda"
"28","PTB",NA,"direita conservadora","direita","centro fisiológico","direita"
"29","PTC","centro",NA,NA,"centro fisiológico","direita"
"30","PV","centro","direita progressista","centro","centro-esquerda liberal","esquerda"
"31","REDE",NA,"esquerda progressista","centro-esquerda","centro-esquerda liberal","esquerda"
"32","Solidariedade",NA,NA,NA,"centro fisiológico","centro"
"33","UP",NA,NA,NA,NA,NA
